img,approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max
02_15,4,20.4273616871,0.792956295034,1,4,33.253699713,56.5788185681,21.1107863717,0.941463414634,0,1.70142928626,0.634840229926,0.373121724808
02_16,8,13.9984841078,0.262345787724,1,47,36.3103228927,39.6369795094,34.1298730221,0.97138836773,-39,1.09161737907,0.939949587421,0.86106139884
02_17,6,32.6080737479,0.262891837504,0,57,24.233896509,43.9884137964,13.7133668032,0.654255319149,-51,1.81516058633,0.565875438073,0.311749518105
02_18,8,16.1479669221,0.612107781246,1,98,39.3519706785,52.7853477396,32.2521353249,0.948158253752,-90,1.3413647863,0.819581199334,0.61100545333
02_19,5,22.2974771645,0.712693245626,0,11,33.5253964647,56.4050460556,17.8334095159,0.837126600284,-6,1.68245724148,0.531937319062,0.316166917022
02_20,10,16.1264957977,0.211916252866,1,222,36.0154520477,44.733737909,33.849008929,0.959726801696,-212,1.24207070481,0.939846843631,0.756677409739
02_21,3,23.2917475086,0.806878672257,1,3,30.4923462125,53.2027907752,17.7250426794,0.95801902263,0,1.74479164065,0.581294812669,0.333160017006
04_01,5,18.0148140607,0.592923236115,1,4,31.2094256872,41.9144926274,24.6643053863,0.958046336882,1,1.34300749548,0.790283859546,0.588443372213
04_02,8,32.9507506416,0.704541828361,0,52,24.3518237091,42.8514516453,16.262655418,0.63518581657,-44,1.75968141676,0.66782084218,0.379512357077
04_03,3,28.1101578035,0.873146308445,0,7,27.874619857,56.7225569666,12.154166604,0.821608885897,-4,2.03491768704,0.436029860367,0.214273954737
04_04,5,15.9722551381,0.280353673146,1,22,32.4641961729,38.0778461503,29.0535543094,0.966433158202,-17,1.17291818801,0.894941435008,0.763004141428
04_05,12,21.4787003476,0.253211910815,0,12,31.1430605946,35.8260180172,24.7879511723,0.86858608894,0,1.15036921013,0.795938186518,0.691898026747
04_06,4,23.2741891897,0.704514146913,0,6,27.7773858401,48.5110841812,18.5024806469,0.870064608758,-2,1.74642367214,0.666098701779,0.381407279577
04_07,4,21.3155195715,0.843316372263,1,15,28.8895919247,47.6830914793,22.5733793907,0.943165467626,-11,1.65052838419,0.781367194439,0.473404275821
04_08,10,29.748895345,0.835802639455,0,17,26.9514964384,45.486882718,18.6640924949,0.828612926652,-7,1.68773124794,0.692506723608,0.41031812645
04_09,6,28.0911428543,0.681338394319,0,4,27.7945695014,47.8994659223,17.7749272973,0.806580259222,2,1.72333901124,0.639510797114,0.371088214764
04_10,6,17.1989216065,0.632191003384,0,84,33.9358979285,44.3272140219,24.0039906212,0.920610687023,-78,1.30620424765,0.707333298555,0.541518142993
04_11,6,21.164773342,0.389271141053,0,10,31.9950714012,46.2246862373,23.465974644,0.834890965732,-4,1.44474396252,0.733424668749,0.507650274219
04_12,4,20.2180232445,0.871025761648,1,11,30.8245845107,50.7909411723,19.7598506692,0.963524854745,-7,1.64774130709,0.641041914526,0.3890428138
04_13,8,16.6488564068,0.87382295818,1,119,29.5378976576,42.9939027038,20.4140272918,0.982437275986,-111,1.45555053383,0.691113075428,0.474812147957
