chain_0_len,chain_1_len,chain_2_len,chain_3_len,chain_4_len,chain_5_len,chain_6_len,chain_7_len,fingure_0_len,fingure_0_width,fingure_1_len,fingure_1_width,fingure_2_len,fingure_2_width,fingure_3_len,fingure_3_width,fingure_4_len,fingure_4_width,img,median_skin_color,palm_circle_radius,texture_contrast_00,texture_contrast_90,texture_correlation_00,texture_correlation_90,texture_dissimilarity_00,texture_dissimilarity_90,texture_energy_00,texture_energy_90
136.605270386,189.380554199,164.468826294,191.02355957,187.757827759,171.405975342,257.614074707,133.060165405,155.90226772,37.2155008679,192.004574843,41.1918253418,203.002825484,44.6021790986,189.625786315,43.2357212971,149.84785265,43.9210406502,../training/011.tif,158.0,97.2666625977,1430.03899898,1303.63332053,0.45975635589,0.509433461737,23.4258130081,22.2505760369,0.0843708505897,0.0847184944105
123.842643738,180.235946655,169.941177368,187.683258057,183.371185303,158.230834961,230.002166748,126.562240601,143.20171008,35.3830380341,185.544149471,41.6841872026,194.994254083,45.607280787,171.698493793,45.0916948207,118.892305886,55.8322836483,../training/012.tif,117.0,100.260467529,2342.23837652,1934.50416027,0.397232386416,0.50994298074,31.3228531504,27.9099462366,0.0558511481375,0.0577821948218
121.016532898,182.989074707,167.026947021,190.947631836,182.016479492,160.256057739,229.106948853,124.615409851,143.661840626,36.3056716948,183.705932982,43.6182086743,194.457026249,45.7372152179,171.061822778,44.7217524842,111.379668042,54.5237827154,../training/013.tif,117.0,99.4635620117,2026.96982978,1669.96594982,0.461612239437,0.565349837659,28.4690675813,25.276625704,0.0527674495995,0.0543609777941
128.062484741,179.524368286,170.836166382,186.386688232,182.822311401,159.314163208,228.05480957,125.399353027,145.760261391,35.3028958153,186.277437012,41.2742947843,194.541843192,45.6319360219,172.406729358,43.4773732499,114.160693713,54.5946306921,../training/014.tif,117.0,98.4666748047,2073.32844258,1789.98777522,0.517569511105,0.592277035102,28.532710874,26.0109447005,0.0525214376785,0.0534581354626
127.640113831,182.016494751,169.955886841,189.95262146,182.016494751,162.049377441,227.05506897,128.996139526,146.293399382,34.5030115451,185.770142276,41.2243670982,194.424522105,45.7114532377,173.432333333,44.3178792968,120.944516544,55.2887999947,../training/015.tif,117.0,97.3162841797,2217.62550813,1805.61085509,0.493413015426,0.595845487915,29.469004065,25.9915514593,0.0511705180724,0.052774880205
126.479240417,177.63444519,163.174743652,184.531829834,191.971374512,172.290481567,270.083312988,128.798278809,145.75806858,36.0269953145,183.272992733,36.7279222351,201.865852994,39.7685251624,192.441476391,39.6272614387,147.981277998,45.8945871799,../training/016.tif,144.0,92.2697753906,1960.99657012,1809.24391961,0.47737143579,0.52266467821,29.5978150407,28.4699820789,0.0721409674845,0.0720244894895
122.188362122,176.377410889,165.148406982,185.528945923,188.809432983,171.842941284,261.428741455,128.825469971,143.64847618,33.6409177894,185.378794176,36.173474676,200.402754098,40.0149680067,190.298275253,39.4545034334,146.593144312,45.1794044109,../training/017.tif,148.0,93.3254089355,1731.37182419,1571.17089094,0.553603463644,0.599858180218,25.4222560976,24.1520737327,0.0859635151955,0.0872738743848
135.473236084,177.225830078,172.812042236,189.214157104,192.208206177,178.058959961,269.046478271,137.440887451,151.716141497,35.0883641789,188.139039549,36.6935100127,202.739136004,40.3621255359,191.49178181,40.8581783929,154.324000453,47.1267510851,../training/018.tif,147.0,94.1655883789,2154.07355183,2025.50736047,0.505099099559,0.534922169305,30.9507113821,30.1756912442,0.0718553081599,0.0712210883656
140.716033936,175.094268799,175.32824707,187.747161865,192.841903687,178.51890564,272.662811279,142.762039185,150.525554039,35.951634504,185.944121699,37.9583890273,202.293610505,40.1188178785,192.918143167,40.4470128232,152.488922541,46.9982666167,../training/019.tif,148.0,96.6945800781,1520.5890498,1600.87154378,0.597292795469,0.573595797989,25.6792428862,25.9194188428,0.0727036895822,0.0731740669015
128.47177124,179.713638306,167.299133301,188.170120239,189.190383911,174.957138062,262.213653564,132.853317261,149.730017296,34.0139127826,186.578613355,36.4046976724,202.625561925,38.9017756635,190.069883635,38.0726156529,148.575826123,45.8162657945,../training/020.tif,139.0,89.9223327637,1962.80913364,1673.86424731,0.47006176668,0.555789647517,29.7547637195,27.4269713262,0.0773419689475,0.0772484764991
